external_learning_efficiency,platform_capture_share,equivalent_pareto_tail_index,neutrality_penalty,regime,ownership_size,incremental_private_value,capture_upgrade,productive_learning_upgrade,external_access_slope,selection_margin,platform_full_rollup_capture_threshold
0.53750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16883152,2.88132422,0.65559375,-0.01968750,0.71825016,0.34026968
0.55000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16858542,2.89879688,0.63787500,-0.01968750,0.71525602,0.33821868
0.56250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16833933,2.91626953,0.62015625,-0.01968750,0.71226188,0.33619227
0.57500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16809324,2.93374219,0.60243750,-0.01968750,0.70926774,0.33418999
0.58750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16784714,2.95121484,0.58471875,-0.01968750,0.70627360,0.33221142
0.60000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16760105,2.96868750,0.56700000,-0.01968750,0.70327945,0.33025614
0.61250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16735495,2.98616016,0.54928125,-0.01968750,0.70028531,0.32832374
0.62500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16710886,3.00363281,0.53156250,-0.01968750,0.69729117,0.32641382
0.63750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16686277,3.02110547,0.51384375,-0.01968750,0.69429703,0.32452600
0.65000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16661667,3.03857813,0.49612500,-0.01968750,0.69130289,0.32265988
0.66250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16637058,3.05605078,0.47840625,-0.01968750,0.68830875,0.32081511
0.67500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16612449,3.07352344,0.46068750,-0.01968750,0.68531461,0.31899131
0.68750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16587839,3.09099609,0.44296875,-0.01968750,0.68232047,0.31718813
0.70000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16563230,3.10846875,0.42525000,-0.01968750,0.67932633,0.31540522
0.71250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16538620,3.12594141,0.40753125,-0.01968750,0.67633219,0.31364224
0.72500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16514011,3.14341406,0.38981250,-0.01968750,0.67333805,0.31189886
0.73750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16489402,3.16088672,0.37209375,-0.01968750,0.67034391,0.31017475
0.75000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16464792,3.17835938,0.35437500,-0.01968750,0.66734977,0.30846961
0.76250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16440183,3.19583203,0.33665625,-0.01968750,0.66435563,0.30678310
0.77500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16415574,3.21330469,0.31893750,-0.01968750,0.66136149,0.30511494
0.78750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16390964,3.23077734,0.30121875,-0.01968750,0.65836735,0.30346482
0.80000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16366355,3.24825000,0.28350000,-0.01968750,0.65537320,0.30183245
0.81250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16341745,3.26572266,0.26578125,-0.01968750,0.65237906,0.30021755
