organization_cost_scale,cross_node_learning,integration_threshold,conditional_target_size,continuous_target_size
0.04712500,0.02500000,0.69248328,4,3.70633167
0.04850000,0.02500000,0.70205933,4,3.66185403
0.04987500,0.02500000,0.71163539,4,3.61913279
0.05125000,0.02500000,0.72121145,4,3.57805297
0.05262500,0.02500000,0.73078750,4,3.53850996
0.05400000,0.02500000,0.74036356,4,3.50040831
0.05537500,0.02500000,0.74946701,3,3.46366077
0.05675000,0.02500000,0.75586838,3,3.42818734
0.05812500,0.02500000,0.76226974,3,3.39391454
0.05950000,0.02500000,0.76867110,3,3.36077477
0.06087500,0.02500000,0.77507246,3,3.32870565
0.06225000,0.02500000,0.78147383,3,3.29764956
0.06362500,0.02500000,0.78787519,3,3.26755318
0.06500000,0.02500000,0.79427655,3,3.23836704
0.06637500,0.02500000,0.80067792,3,3.21004522
0.06775000,0.02500000,0.80707928,3,3.18254501
0.06912500,0.02500000,0.81348064,3,3.15582660
0.07050000,0.02500000,0.81988201,3,3.12985288
0.07187500,0.02500000,0.82628337,3,3.10458916
0.07325000,0.02500000,0.83268473,3,3.08000300
0.07462500,0.02500000,0.83908609,3,3.05606401
0.07600000,0.02500000,0.84548746,3,3.03274371
0.07737500,0.02500000,0.85188882,3,3.01001532
0.07875000,0.02500000,0.85829018,3,2.98785370
0.08012500,0.02500000,0.86469155,3,2.96623520
0.08150000,0.02500000,0.87109291,3,2.94513751
0.08287500,0.02500000,0.87749427,3,2.92453962
0.08425000,0.02500000,0.88389564,3,2.90442168
0.08562500,0.02500000,0.89029700,3,2.88476494
0.08700000,0.02500000,0.89669836,3,2.86555168
0.08837500,0.02500000,0.90309972,3,2.84676513
0.08975000,0.02500000,0.90950109,3,2.82838937
0.09112500,0.02500000,0.91590245,3,2.81040933
0.09250000,0.02500000,0.92230381,3,2.79281072
0.09387500,0.02500000,0.92870518,3,2.77557995
0.09525000,0.02500000,0.93510654,3,2.75870411
0.09662500,0.02500000,0.94150790,3,2.74217093
0.09800000,0.02500000,0.94790927,3,2.72596870
0.09937500,0.02500000,0.95431063,3,2.71008631
0.10075000,0.02500000,0.96071199,3,2.69451314
0.10212500,0.02500000,0.96711335,3,2.67923907
0.10350000,0.02500000,0.97351472,3,2.66425445
0.10487500,0.02500000,0.97991608,3,2.64955006
0.10625000,0.02500000,0.98631744,3,2.63511707
0.10762500,0.02500000,0.99271881,3,2.62094706
0.10900000,0.02500000,0.99912017,3,2.60703198
0.11037500,0.02500000,1.00552153,3,2.59336411
0.11175000,0.02500000,1.01192290,3,2.57993605
0.11312500,0.02500000,1.01832426,3,2.56674072
0.11450000,0.02500000,1.02472562,3,2.55377133
0.11587500,0.02500000,1.03112698,3,2.54102138
0.11725000,0.02500000,1.03752835,3,2.52848460
0.11862500,0.02500000,1.04392971,3,2.51615500
0.12000000,0.02500000,1.05033107,3,2.50402680
0.01000000,0.03750000,0.34423916,7,7.15459559
0.01137500,0.03750000,0.36520151,7,6.77635854
0.01275000,0.03750000,0.38581361,6,6.45804948
0.01412500,0.03750000,0.40270691,6,6.18511267
0.01550000,0.03750000,0.41960021,6,5.94753405
0.01687500,0.03750000,0.43649351,6,5.73816247
0.01825000,0.03750000,0.45338681,6,5.55173325
0.01962500,0.03750000,0.46804604,5,5.38427098
