context_payment_cap,enforcement_capacity,integration_cost,regime,disclosure,monitoring,reuse,owner_payoff,provider_payoff,transfer_to_provider,period_two_route
0.00000000,0.24000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.25333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.26666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.28000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.29333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.30666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.32000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.33333333,0.03666667,secure_modular,1.00000000,0.97050000,0.00000000,1.31179978,0.06546644,0.04970022,renew
0.00000000,0.34666667,0.03666667,secure_modular,1.00000000,0.93317308,0.00000000,1.31624092,0.06990758,0.04525908,renew
0.00000000,0.36000000,0.03666667,secure_modular,1.00000000,0.89861111,0.00000000,1.32019780,0.07386446,0.04130220,renew
0.00000000,0.37333333,0.03666667,secure_modular,1.00000000,0.86651786,0.00000000,1.32373834,0.07740501,0.03776166,renew
0.00000000,0.38666667,0.03666667,secure_modular,1.00000000,0.83663793,0.00000000,1.32691898,0.08058564,0.03458102,renew
0.00000000,0.40000000,0.03666667,secure_modular,1.00000000,0.80875000,0.00000000,1.32978688,0.08345355,0.03171312,renew
0.00000000,0.41333333,0.03666667,secure_modular,1.00000000,0.78266129,0.00000000,1.33238175,0.08604841,0.02911825,renew
0.00000000,0.42666667,0.03666667,secure_modular,1.00000000,0.75820312,0.00000000,1.33473717,0.08840383,0.02676283,renew
0.00000000,0.44000000,0.03666667,secure_modular,1.00000000,0.73522727,0.00000000,1.33688172,0.09054839,0.02461828,renew
0.00000000,0.45333333,0.03666667,secure_modular,1.00000000,0.71360294,0.00000000,1.33883984,0.09250651,0.02266016,renew
0.00000000,0.46666667,0.03666667,secure_modular,1.00000000,0.69321429,0.00000000,1.34063254,0.09429921,0.02086746,renew
0.00000000,0.48000000,0.03666667,secure_modular,1.00000000,0.67395833,0.00000000,1.34227793,0.09594459,0.01922207,renew
0.00000000,0.49333333,0.03666667,secure_modular,1.00000000,0.65574324,0.00000000,1.34379172,0.09745838,0.01770828,renew
0.00000000,0.50666667,0.03666667,secure_modular,1.00000000,0.63848684,0.00000000,1.34518758,0.09885424,0.01631242,renew
0.00000000,0.52000000,0.03666667,secure_modular,1.00000000,0.62211538,0.00000000,1.34647744,0.10014411,0.01502256,renew
0.00000000,0.53333333,0.03666667,secure_modular,1.00000000,0.60656250,0.00000000,1.34767179,0.10133845,0.01382821,renew
0.00000000,0.54666667,0.03666667,secure_modular,1.00000000,0.59176829,0.00000000,1.34877981,0.10244648,0.01272019,renew
0.00000000,0.56000000,0.03666667,secure_modular,1.00000000,0.57767857,0.00000000,1.34980963,0.10347630,0.01169037,renew
0.00000000,0.57333333,0.03666667,secure_modular,1.00000000,0.56424419,0.00000000,1.35076845,0.10443511,0.01073155,renew
0.00000000,0.58666667,0.03666667,secure_modular,1.00000000,0.55142045,0.00000000,1.35166263,0.10532930,0.00983737,renew
0.00000000,0.60000000,0.03666667,secure_modular,1.00000000,0.53916667,0.00000000,1.35249787,0.10616454,0.00900213,renew
0.00000000,0.61333333,0.03666667,secure_modular,1.00000000,0.52744565,0.00000000,1.35327923,0.10694590,0.00822077,renew
0.00000000,0.62666667,0.03666667,secure_modular,1.00000000,0.51622340,0.00000000,1.35401125,0.10767792,0.00748875,renew
0.00000000,0.64000000,0.03666667,secure_modular,1.00000000,0.50546875,0.00000000,1.35469800,0.10836467,0.00680200,renew
0.00000000,0.65333333,0.03666667,secure_modular,1.00000000,0.49515306,0.00000000,1.35534313,0.10900980,0.00615687,renew
0.00000000,0.66666667,0.03666667,secure_modular,1.00000000,0.48525000,0.00000000,1.35594994,0.10961661,0.00555006,renew
0.00000000,0.68000000,0.03666667,secure_modular,1.00000000,0.47573529,0.00000000,1.35652141,0.11018808,0.00497859,renew
0.00000000,0.69333333,0.03666667,secure_modular,1.00000000,0.46658654,0.00000000,1.35706023,0.11072690,0.00443977,renew
0.00000000,0.70666667,0.03666667,secure_modular,1.00000000,0.45778302,0.00000000,1.35756884,0.11123550,0.00393116,renew
0.00000000,0.72000000,0.03666667,secure_modular,1.00000000,0.44930556,0.00000000,1.35804945,0.11171612,0.00345055,renew
0.00000000,0.73333333,0.03666667,secure_modular,1.00000000,0.44113636,0.00000000,1.35850409,0.11217075,0.00299591,renew
0.00000000,0.74666667,0.03666667,secure_modular,1.00000000,0.43325893,0.00000000,1.35893459,0.11260125,0.00256541,renew
0.00000000,0.76000000,0.03666667,secure_modular,1.00000000,0.42565789,0.00000000,1.35934263,0.11300929,0.00215737,renew
0.00000000,0.77333333,0.03666667,secure_modular,1.00000000,0.41831897,0.00000000,1.35972974,0.11339641,0.00177026,renew
0.00000000,0.78666667,0.03666667,secure_modular,1.00000000,0.41122881,0.00000000,1.36009735,0.11376401,0.00140265,renew
0.00000000,0.80000000,0.03666667,secure_modular,1.00000000,0.40437500,0.00000000,1.36044672,0.11411339,0.00105328,renew
0.00000000,0.00000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.01333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.02666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.04000000,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.05333333,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
0.00000000,0.06666667,0.05500000,ownership,0.00000000,0.00000000,0.00000000,1.27800000,0.05000000,0.00000000,none
